City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,glendive,47.1053,-104.7125,289.09,55,0,4.63,US,1697668133
261,san patricio,28.017,-97.5169,301.78,42,4,6.25,US,1697668133
262,howrah,22.5892,88.3103,298.15,88,20,1.54,IN,1697668133
263,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697668133
264,luderitz,-26.6481,15.1594,289.39,81,24,1.86,NA,1697668133
265,salbris,47.4242,2.0512,289.99,93,59,4.67,FR,1697668133
266,vilyuchinsk,52.9306,158.4028,282.3,75,93,4.37,RU,1697668133
267,nemuro,43.3236,145.575,288.1,83,100,9.65,JP,1697668133
268,muswellbrook,-32.2667,150.9,289.59,56,6,1.38,AU,1697668134
269,nizhyn,51.048,31.8869,279.01,68,88,3.75,UA,1697668134
270,revda,56.801,59.9303,275.34,83,95,6.26,RU,1697668134
271,la seyne-sur-mer,43.0982,5.8847,294.56,78,98,4.02,FR,1697668134
272,iquitos,-3.7481,-73.2472,303.17,70,40,1.03,PE,1697667877
273,rockingham,42.9668,-71.0995,287.46,80,100,0.45,US,1697668134
274,itapaci,-14.9508,-49.5494,303.85,17,7,0.87,BR,1697668134
275,biryusinsk,55.9634,97.8235,278.52,95,95,1.6,RU,1697668134
276,huicungo,-7.2833,-76.8,301.37,62,39,1.85,PE,1697668134
277,mili,6.0815,171.735,301.3,73,55,4.81,MH,1697668134
278,scottsbluff,41.8666,-103.6672,294.28,21,0,11.83,US,1697668134
279,bowen,-20.0167,148.2333,296.29,63,92,8.18,AU,1697668041
280,vuktyl,63.8567,57.3094,276.54,87,100,8.05,RU,1697668134
281,tafuna,-14.3358,-170.72,302.12,74,75,9.77,AS,1697668134
282,palmas,-10.2128,-48.3603,304.08,48,0,0.0,BR,1697667917
283,brokopondo,4.75,-55.1667,302.36,68,70,3.8,SR,1697668134
284,natal,-5.795,-35.2094,300.27,74,40,6.17,BR,1697668000
285,ta`u,-14.2336,-169.5144,299.38,80,100,9.48,AS,1697668134
286,kirovskiy,45.0917,133.5136,278.36,92,3,2.52,RU,1697668135
287,nema,57.5067,50.5011,275.6,87,100,5.92,RU,1697668135
288,adamovka,51.5223,59.9396,275.36,69,3,4.02,RU,1697668135
289,bestobe,52.4994,73.0975,282.14,50,44,4.46,KZ,1697668135
290,wagar,16.1525,36.2032,303.35,55,49,4.41,SD,1697668135
291,kokopo,-4.352,152.2633,299.99,79,28,1.58,PG,1697668135
292,al jawf,29.5,38.75,293.27,37,0,3.11,SA,1697668135
293,darwin,-12.4611,130.8418,300.31,83,0,0.0,AU,1697668135
294,chunskiy,56.0815,99.6342,274.64,89,69,1.31,RU,1697668135
295,bardai,11.65,7.2333,298.58,29,72,2.63,NG,1697668135
296,taulaga,-11.0553,-171.0883,300.75,81,20,6.81,AS,1697668135
297,newman,37.3138,-121.0208,306.06,35,0,0.89,US,1697667993
298,porto novo,6.4965,2.6036,301.05,86,92,2.73,BJ,1697668135
299,yokadouma,3.5167,15.05,294.38,95,72,0.43,CM,1697668135
300,paoua,7.2427,16.4406,296.03,77,85,1.24,CF,1697668135
301,broome,42.2506,-75.833,286.49,79,100,1.54,US,1697668135
302,hobro,56.6431,9.7903,282.04,73,100,6.31,DK,1697668135
303,vilhena,-12.7406,-60.1458,302.34,40,52,1.19,BR,1697668136
304,mount gambier,-37.8333,140.7667,288.71,44,16,3.47,AU,1697667913
305,constantia,44.1833,28.65,280.76,71,2,4.24,RO,1697668136
306,meadow lake,34.8014,-106.5436,302.76,17,0,4.59,US,1697668136
307,saint-pierre,-21.3393,55.4781,297.97,83,100,1.03,RE,1697668136
308,corner brook,48.9667,-57.9484,280.24,91,22,2.49,CA,1697668085
309,mansa,29.9833,75.3833,292.19,46,0,2.08,IN,1697668136
310,swan hill,-35.3378,143.5544,291.24,43,0,3.68,AU,1697667841
311,hamilton,39.1834,-84.5333,290.92,59,0,4.12,US,1697667993
312,fortuna,40.5982,-124.1573,288.66,100,75,4.63,US,1697668136
313,san luis de la loma,17.2706,-100.8939,297.99,92,100,2.64,MX,1697668136
314,nguigmi,14.2495,13.1092,304.01,23,100,4.86,NE,1697668136
315,mariental,-24.6333,17.9667,296.37,14,0,5.43,NA,1697668136
